"ProductId","Image Url","Video Url","Product Desc","Origin Price","Discount Price","Discount","Currency","Commission Rate","Commission","Sales180Day","Positive Feedback","Promotion Url"
"1005003926719103","https://ae04.alicdn.com/kf/Se81578342b5a49068a49a6c852502517Y.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/348688622725.mp4","Disney Marvel Spider Man Iron Man Batman Children Deformation Robot Projection Electronic Watch Anime Kids Toys Gifts","USD 16.39","USD 8.03","51%","USD","8.0","USD 0.64","75","99.1%","https://s.click.aliexpress.com/e/_DBSxPXV"
"1005001810859930","https://ae04.alicdn.com/kf/H590ba8e5d2834c698686f65bd3a09de9Y.jpg",,"G1 Transformation Galvatron Devastator Tyrant MFT MF-07 MF07 KO DX9 D07 Pocket War Action Figure Robot Toy Collection Model Gift","USD 17.00","USD 14.45","15%","USD","7","USD 1.01","70","95.0%","https://s.click.aliexpress.com/e/_DDk1S2R"
"1005003293751832","https://ae04.alicdn.com/kf/Hed599e0e8d184cf394ccfbe76b1911bct.jpg",,"7.5"" Transformation Robot Car Toys Airplane Action Figure Modle BEST Gift Education Children","USD 12.57","USD 10.68","15%","USD","8.0","USD 0.85","32","100.0%","https://s.click.aliexpress.com/e/_DCvfsFv"
"1005003648219193","https://ae04.alicdn.com/kf/Hfa296fa07aed4801a7d07b26292d7f72g.jpg",,"16CM Disney Marvel Series Venom Glowing Action Figure Children's Toy Movie Avengers Charm Hero Car Ornament Gift","USD 3.00","USD 1.83","39%","USD","7","USD 0.13","28","95.6%","https://s.click.aliexpress.com/e/_DkfmhsB"
"1005002402151137","https://ae04.alicdn.com/kf/H22d73489b6384af7b8eb6d0c7e91c016m.jpg",,"2pcs/set Kuroba Finger Guessing Game Deformation Educational Toys Rock-Paper-Scissors Battle Boy and Girl Family Party Toys","USD 40.33","USD 23.79","41%","USD","8.0","USD 1.90","30","73.3%","https://s.click.aliexpress.com/e/_DdmpeF1"
"1005002460270184","https://ae04.alicdn.com/kf/H90e63782c3934268aa9ae350459a5978B.jpg",,"Robot WALL E Tiny Collection Action Figure Toys","USD 2.51","USD 2.51","0%","USD","7","USD 0.18","30","90.0%","https://s.click.aliexpress.com/e/_DntWlmT"
"1005004024440913","https://ae04.alicdn.com/kf/S5f7a85870a91407ba9ca2a38dafe804bG.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/352071511201.mp4","New Hot 3/5Pcs Three Little Kitten PVC Anime Figure Russian Cartoon Happy e-Cat Family Figurine Model Doll Toy for Child Gift","USD 6.42","USD 4.88","24%","USD","7","USD 0.34","140","97.9%","https://s.click.aliexpress.com/e/_Dd728ZN"
"32951485248","https://ae04.alicdn.com/kf/HTB11x5tXOnrK1RjSsziq6xptpXaS.jpg",,"4pcs/set 8cm Robot Trains Transformation Kay Alf Dynamic Train Family Deformation Train Car action figure toys toys for children","USD 23.32","USD 16.32","30%","USD","8.0","USD 1.31","40","90.0%","https://s.click.aliexpress.com/e/_DE6YUUj"
"4000002789333","https://ae04.alicdn.com/kf/H0051294fa03e4f33b725a817a3c638ebu.jpg",,"Mini Soundwave With Laserbeak Transformation MFT HS-03 HS03 Hot Soldiers G1 Pocket War Deformation Action Figure Robot Toy Gifts","USD 27.20","USD 18.50","32%","USD","7","USD 1.30","141","96.8%","https://s.click.aliexpress.com/e/_DmsCIVl"
"32739723197","https://ae04.alicdn.com/kf/HTB1zT1RNpXXXXcsXXXXq6xXFXXXS.jpg",,"1pcs Hot Gift Collector's Edition Dota 2 Game Figure SLARK VS TINY Doom Boxed Exquisite PVC Action Figures Collection Dota2 Toys","USD 11.86","USD 4.74","60%","USD","7","USD 0.33","204","92.4%","https://s.click.aliexpress.com/e/_DeWKNXV"
"1005001548910934","https://ae04.alicdn.com/kf/H979d72b0bab84852a56e56bccd05ddf2N.jpg",,"APC-Toys Apache Transformation Toys TFP Leader's Witness Prime OP Robot Transformed Into Car Model","USD 42.88","USD 42.88","0%","USD","7","USD 3.00","41","96.0%","https://s.click.aliexpress.com/e/_DB8er3H"
"1005004104979113","https://ae04.alicdn.com/kf/S1629806722de497aa5d122ff7886cca84.jpg",,"Bakuganes,Unique 5 8 12 Children's Suitable For Children Toy Burst Collectible Action Figures Fusion met Mo	nster Ball","USD 6.80","USD 3.40","50%","USD","7","USD 0.24","46","100.0%","https://s.click.aliexpress.com/e/_DEP6Ky7"
"1005002266589598","https://ae04.alicdn.com/kf/He8143e458cc24fc2b9e52c8c4bd92968x.jpg",,"5cm Soldier GK Military Soldier PVC Model Toys Robot Army Fan Collection Solid Model Garage For Kid Child Family Educational Toy","USD 24.06","USD 15.16","37%","USD","8.5","USD 1.29","24","96.7%","https://s.click.aliexpress.com/e/_Dd5a6Af"
"32977160192","https://ae04.alicdn.com/kf/HTB1myEoI9rqK1RjSZK9q6xyypXa1.jpg",,"25 Style Robocar Poli Korea kids Toys Robot Poli Roy Haley Anime Metal Action Figure Toys Car  For Children Best Gift","USD 4.99","USD 4.44","11%","USD","7","USD 0.31","646","96.7%","https://s.click.aliexpress.com/e/_DEzCcqX"
"1005004491331309","https://ae04.alicdn.com/kf/Sf399e4ea11504b35b22324362c164a844.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/1100060888677.mp4","Kids Dancing Robot Rotating Light Music Electronic Sing Toys Robot Children Intelligent Early Education Toy For Birthday Gift","USD 16.92","USD 7.95","53%","USD","7","USD 0.56","175","86.0%","https://s.click.aliexpress.com/e/_DkchyaJ"
"32769813352","https://ae04.alicdn.com/kf/HTB1DGxAPVXXXXaiapXXq6xXFXXXt.jpg",,"DOTA 2 Game Figure Kunkka Lina Pudge Queen Tidehunter CM FV PVC Action Figures Collection dota2 Toys","USD 11.98","USD 7.19","40%","USD","8.0","USD 0.58","74","95.0%","https://s.click.aliexpress.com/e/_DFISP6b"
"1005002404119701","https://ae04.alicdn.com/kf/H2bcec71964474f3facbe41e151eb66027.jpg",,"18cm Transformation robot toy car model anime action figure movie series SS38 tank model boy kids gift collection","USD 21.15","USD 13.54","36%","USD","8.0","USD 1.08","642","91.3%","https://s.click.aliexpress.com/e/_Dn5jZdZ"
"1005004447077583","https://ae04.alicdn.com/kf/S566b01958020471f8b6f17826c61dd2cJ.jpg",,"RoboCop Murphy  robot 35th Anniversary Luxury movie Anime Game Figurine PVC Action Figure Model Toy","USD 81.99","USD 77.07","6%","USD","7","USD 5.39","30","100.0%","https://s.click.aliexpress.com/e/_DEhKFEb"
"1005003247351441","https://ae04.alicdn.com/kf/H2ffde6166b6545f9867861cb6571e635c.jpg",,"2021 Mini Force Transformation Robot Toys Action Figures MiniForce X Volt Simulation Car Airplane Deformation Mini Toy","USD 15.20","USD 9.73","36%","USD","8.0","USD 0.78","70","88.6%","https://s.click.aliexpress.com/e/_DFdJYvH"
