"ProductId","Image Url","Video Url","Product Desc","Origin Price","Discount Price","Discount","Currency","Commission Rate","Commission","Sales180Day","Positive Feedback","Promotion Url"
"1005003695092567","https://ae04.alicdn.com/kf/H1f8dce0f247b4037977e0a32922af5d39.jpg",,"New radio paw patrol toy set cartoon anime radio walkie-talkie parent-child outdoor interactive telephone game toy gift","USD 9.43","USD 7.35","22%","USD","15.0","USD 1.10","63","70.8%","https://s.click.aliexpress.com/e/_DE3TaVH"
"1005004099804919","https://ae04.alicdn.com/kf/S353a2f3c647c409a845a37d48056bbf57.jpg",,"JOYTOY 1/18 Action Figure Mecha Robot The Stars Xingtian Mecha Pilot Collection Model Toys Gift Free Shipping","USD 278.25","USD 122.43","56%","USD","7","USD 8.57","23","100.0%","https://s.click.aliexpress.com/e/_DFz3fxl"
"1005004202034719","https://ae04.alicdn.com/kf/Sfc6e845119664af09d4beb832e54e337N.png",,"New Bakuganes Battle Ball Catapult Battle Platform Card Monster Action Toy Figures Tall Collectible Figures Toy for Kids","USD 7.24","USD 3.62","50%","USD","7","USD 0.25","38","100.0%","https://s.click.aliexpress.com/e/_DFtmw2B"
"1005003159966516","https://ae04.alicdn.com/kf/H57dc5548639041d2beac16aef47415c2l.jpg",,"Transformation APC TOYS  Apache Magic Voice EvilVoice TFP Leader's Certificate Sonic Air Force Air Force Transform Robot","USD 45.50","USD 45.50","0%","USD","7","USD 3.18","20","100.0%","https://s.click.aliexpress.com/e/_Dm7JAGT"
"1005002321220471","https://ae04.alicdn.com/kf/H7bdb344083ab497683efb2df872c807e9.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/305878490635.mp4","Super Wings S4 S5 Mini Transforming Toy Deformation Airplane Robot Action Figures Cartoon Transformation Toys For Children Gifts","USD 11.42","USD 7.99","30%","USD","8.0","USD 0.64","78","95.2%","https://s.click.aliexpress.com/e/_Dd1RyKJ"
"1005003385786670","https://ae04.alicdn.com/kf/Hec709b51f52c4d19a4cb461052a7665bI.jpg",,"2022 Marvel superhero, Avengers, Iron Man, Superman, action board,  of Christmas and birthday gifts children's toys","USD 5.98","USD 2.99","50%","USD","7","USD 0.21","47","97.1%","https://s.click.aliexpress.com/e/_DcjunLH"
"1005003149037522","https://ae04.alicdn.com/kf/H5a322defb88146e8ae4b4001f785f392x.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/1100038809493.mp4","BMB LS03 Masterpiece Transformation Action Figure Toy OP Commander Movie Model KO MPM04 MPM-04 Convoy Deformation Car Robot","USD 119.09","USD 79.79","33%","USD","7","USD 5.59","25","96.7%","https://s.click.aliexpress.com/e/_DczUopN"
"1005004106585637","https://ae04.alicdn.com/kf/S29a2352ec1d749758e1efb7f0dea9f87w.png",,"New Bakuganes Battle Ball Catapult Battle Platform Card Monster Action Toy Figures Tall Collectible Figures Toy for Kids","USD 7.12","USD 3.56","50%","USD","7","USD 0.25","293","94.1%","https://s.click.aliexpress.com/e/_Dm9hmvN"
"1005002421316528","https://ae04.alicdn.com/kf/S52ebdd7135a848818df8e59d5c498d1bK.jpg","http://cloud.video.taobao.com/play/u/2675628091/p/1/e/6/t/1/304536229309.mp4","ABS Gogo Bus Transformation Vehicle 3 Changeable Face Expression Action Figures Deformation Ambulance/Police/Fireman Slide Toys","USD 22.70","USD 14.75","35%","USD","7","USD 1.03","22","100.0%","https://s.click.aliexpress.com/e/_DDu9TDv"
"1005004426276598","https://ae04.alicdn.com/kf/S7c9ece507adc458b8197534f680e6ffbA.jpg",,"COMIC CLUB IN-STOCK SNAA Super Nova Mobile Armor XH-01 Hunt And Kill Air Combat Enhanced Weapon Assembly Robot Model Figure Toys","USD 49.99","USD 39.99","20%","USD","7","USD 2.80","29","100.0%","https://s.click.aliexpress.com/e/_DCmyjiT"
